oid,candid,mjd,fid,magpsf,magpsf_corr,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmagap,sigmagap_corr,ra,dec,rb,alert.field,alert.ndethist,alert.nneg,alert.jdstarthist,alert.distnr,alert.tblid,alert.pid,alert.aimagerat,alert.sgmag1,alert.ssmagnr,alert.magapbig,alert.sigmagnr,alert.ssdistnr,alert.magdiff,alert.parent_candid,sgscore1,alert.magref,alert.decnr,alert.jdendref,alert.sgscore2,alert.szmag1,alert.nframesref,alert.classtar,alert.szmag2,alert.xpos,alert.srmag1,alert.nbad,alert.diffmaglim,alert.sigmagref,alert.sky,alert.jdstartref,alert.seeratio,alert.ncovhist,alert.aimage,alert.elong,alert.fwhm,alert.bimagerat,alert.objectidps3,alert.sgmag3,alert.magfromlim,alert.szmag3,alert.programid,alert.pdiffimfilename,alert.ssnamenr,alert.rfid,alert.mindtoedge,alert.rcid,alert.jdendhist,alert.sgmag2,alert.distpsnr2,alert.simag1,alert.jd,alert.objectidps1,alert.nmtchps,alert.distpsnr1,alert.simag3,alert.simag2,alert.programpi,alert.srmag3,alert.ypos,alert.sharpnr,alert.nid,alert.chinr,alert.objectidps2,alert.srmag2,alert.magnr,alert.bimage,alert.ranr,alert.scorr,alert.chipsf,alert.sigmagapbig,alert.sgscore3,alert.tooflag,alert.distpsnr3,isdiffpos,alert.sumrat,alert.zpclrcov,alert.nmatches,alert.clrcoeff,alert.neargaia,alert.ssnrms,alert.magzpscirms,alert.drb,alert.dsnrms,alert.dsdiff,alert.drbversion,alert.magzpsciunc,alert.zpmed,alert.maggaiabright,alert.magzpsci,alert.neargaiabright,alert.rbversion,alert.clrmed,alert.candid,alert.exptime,alert.clrrms,alert.clrcounc,alert.maggaia,alert.fid,alert.ra,alert.dec,alert.magpsf,alert.sigmapsf,alert.magap,alert.sigmagap,alert.rb,alert.magpsf_corr,alert.sigmapsf_corr,alert.magap_corr,alert.sigmagap_corr
ZTF17aacwbiw,1014437892015015008,58768.4375,1,16.763599395751953,15.065132141113281,16.745899200439453,15.061405181884766,0.0656450018286705,0.017640918493270874,0.03530000150203705,0.013330229558050632,114.82869720458984,25.2224063873291,0.951429009437561,615,200,1,2458042.0,0.2908239960670471,8,1014437904384.0,0.32584699988365173,14.909799575805664,,16.72920036315918,0.014000000432133675,,-0.017696000635623932,1.0354533931470029e+18,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,0.9850000143051147,20.492300033569336,2763.56005859375,14.942700386047363,0,19.441600799560547,0.014000000432133675,0.944553017616272,2458166.75,1.0627299547195435,459,0.7689999938011169,1.122630000114441,2.359999895095825,0.29025399684906006,1.3826114765140787e+17,18.40839958190918,2.695739984512329,17.9552001953125,1,/ztf/archive/sci/2019/1012/437894/ztf_20191012437894_000615_zg_c06_o_q1_scimrefdiffimg.fits.fz,,615120120,227.19400024414062,20,2458790.0,-999.0,11.593568801879883,15.081899642944336,2458769.0,1.3826114765140787e+17,11,0.28125783801078796,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2853.31005859375,0.007000000216066837,1014,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,0.6850000023841858,114.82874298095703,12.810999870300293,20.40760040283203,0.04320000112056732,0.9966670274734497,0,15.89806842803955,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,683478592015010023,58437.48046875,1,17.66990089416504,15.201982498168945,17.629499435424805,15.19775104522705,0.05392200127243996,0.013731338083744049,0.0333000011742115,0.013002067804336548,114.82867431640625,25.22247886657715,0.6933330297470093,615,40,0,2458042.0,0.2353769987821579,23,683478614016.0,0.16317200660705566,14.909799575805664,,17.5939998626709,0.014000000432133675,,-0.04037899896502495,7.014954966271918e+17,0.9970830082893372,15.319999694824219,25.222476959228516,2458372.0,0.30797600746154785,14.800100326538086,15,0.9990000128746033,20.492300033569336,2726.97998046875,14.942700386047363,0,20.52989959716797,0.014000000432133675,0.1545329988002777,2458154.75,0.3985230028629303,122,1.2139999866485596,1.073390007019043,7.440000057220459,0.15201599895954132,1.3826114765140787e+17,18.40839958190918,2.9004299640655518,17.9552001953125,1,/ztf/archive/sci/2018/1115/478588/ztf_20181115478588_000615_zg_c06_o_q1_scimrefdiffimg.fits.fz,,615120220,91.63130187988281,20,2458456.0,-999.0,11.421395301818848,15.081899642944336,2458438.0,1.3826114765140787e+17,11,0.1985761970281601,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2988.8701171875,0.007000000216066837,683,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,1.13100004196167,114.82874298095703,17.37980079650879,4.417789936065674,0.03689999878406525,0.9966670274734497,0,15.605908393859863,-1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,620515422015010002,58374.515625,2,17.560400009155273,14.9256010055542,17.572599411010742,14.92667293548584,0.06116199865937233,0.016412973403930664,0.048500001430511475,0.01608278416097164,114.82876586914062,25.222471237182617,0.7833330035209656,615,22,2,2458042.0,0.13568100333213806,2,620515426304.0,0.5114970207214355,14.909799575805664,,17.56399917602539,0.017000000923871994,,0.012206999585032463,6.324452043301847e+17,0.9970830082893372,15.026000022888184,25.222488403320312,2458372.0,0.30797600746154785,14.800100326538086,15,0.9950000047683716,20.492300033569336,2671.669921875,14.942700386047363,0,19.814199447631836,0.017000000923871994,-1.4238899946212769,2458154.75,2.0,89,0.7749999761581421,1.0529899597167969,1.5151599645614624,0.4857569932937622,1.3826114765140787e+17,18.40839958190918,2.2415900230407715,17.9552001953125,1,/ztf/archive/sci/2018/0913/515428/ztf_20180913515428_000615_zr_c06_o_q1_scimrefdiffimg.fits.fz,,615120220,208.61900329589844,20,2458387.0,-999.0,11.416299819946289,15.081899642944336,2458375.0,1.3826114765140787e+17,11,0.13007746636867523,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2871.8798828125,-0.03700000047683716,620,1.1319999694824219,1.3826114765140787e+17,-999.0,15.026000022888184,0.7360000014305115,114.82872772216797,5.551609992980957,5.445040225982666,0.05810000002384186,0.9966670274734497,0,15.683001518249512,-1,0.9882940053939819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,1009475522015015020,58763.4765625,1,16.12057876586914,14.895538330078125,16.114999771118164,14.893730163574219,0.03659472241997719,0.015162336640059948,0.011099999770522118,0.010117835365235806,114.82874298095703,25.2224178314209,0.9157142639160156,615,153,1,2458042.0,0.20991384983062744,20,1009475518464.0,0.2365671694278717,14.909799575805664,-999.0,16.102399826049805,0.014000000432133675,-999.0,-0.005578999873250723,-1000.0,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,0.984000027179718,20.492300033569336,2797.909423828125,14.942700386047363,0,20.51266860961914,0.014000000432133675,-0.03336220979690552,2458166.75,0.6466543078422546,284,0.9509999752044678,1.0806818008422852,4.019999980926514,0.2189054787158966,1.3826114765140787e+17,18.40839958190918,4.397669315338135,17.9552001953125,1,ztf_20191007475521_000615_zg_c06_o_q1_scimrefdiffimg.fits,null,615120120,226.0753936767578,20,2458764.0,-999.0,11.565446853637695,15.081899642944336,2458764.0,1.3826114765140787e+17,11,0.13475698232650757,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2854.424560546875,0.007000000216066837,1009,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,0.8799999952316284,114.82874298095703,28.119871139526367,26.81525993347168,0.01209999993443489,0.9966670274734497,0,15.573766708374023,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,757172512015015015,58511.171875,1,17.01266860961914,15.112726211547852,17.088300704956055,15.125497817993164,0.04944828525185585,0.014409858733415604,0.02500000037252903,0.012401290237903595,114.82875061035156,25.2224178314209,0.6757143139839172,615,55,1,2458042.0,0.21230590343475342,15,757172535296.0,0.3492492437362671,14.909799575805664,-999.0,17.062599182128906,0.014000000432133675,-999.0,0.0756319984793663,-1000.0,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,0.9829999804496765,20.492300033569336,2722.324462890625,14.942700386047363,0,20.058515548706055,0.014000000432133675,-0.4002738893032074,2458166.75,1.0988287925720215,149,1.1629999876022339,1.0393208265304565,3.3299999237060547,0.3360360264778137,1.3826114765140787e+17,18.40839958190918,2.970215320587158,17.9552001953125,1,ztf_20190128172512_000615_zg_c06_o_q1_scimrefdiffimg.fits,null,615120120,109.25669860839844,20,2458511.75,-999.0,11.552834510803223,15.081899642944336,2458511.75,1.3826114765140787e+17,11,0.1366925686597824,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2971.243408203125,0.007000000216066837,757,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,1.11899995803833,114.82874298095703,16.75379180908203,4.709704399108887,0.02800000086426735,0.9966670274734497,0,15.574713706970215,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,726466332015015022,58480.46484375,1,16.16447639465332,14.909549713134766,16.170000076293945,14.911285400390625,0.030707592144608498,0.013618611730635166,0.013199999928474426,0.010462510399520397,114.82872772216797,25.22235870361328,0.7699999809265137,615,48,0,2458042.0,0.4171445071697235,22,726466363392.0,0.2402646541595459,14.909799575805664,-999.0,16.152999877929688,0.014000000432133675,-999.0,0.0055229999125003815,-1000.0,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,0.9860000014305115,20.492300033569336,2707.085205078125,14.942700386047363,0,19.732851028442383,0.014000000432133675,-0.4959442913532257,2458166.75,0.7020644545555115,135,1.2710000276565552,1.0426579713821411,5.289999961853027,0.23043477535247803,1.3826114765140787e+17,18.40839958190918,3.5628514289855957,17.9552001953125,1,ztf_20181228466319_000615_zg_c06_o_q1_scimrefdiffimg.fits,null,615120120,68.18579864501953,20,2458481.0,-999.0,11.701560020446777,15.081899642944336,2458481.0,1.3826114765140787e+17,11,0.3541954755783081,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,3012.314208984375,0.007000000216066837,726,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,1.218999981880188,114.82874298095703,28.924304962158203,6.655719757080078,0.015200000256299973,0.9966670274734497,0,15.35285758972168,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,848184612015015002,58602.18359375,1,16.34397315979004,14.962921142578125,16.332799911499023,14.95977783203125,0.029146438464522362,0.01297154650092125,0.012900000438094139,0.010686920024454594,114.82875061035156,25.222414016723633,0.677142858505249,615,76,0,2458042.0,0.22669634222984314,2,848184606720.0,0.20673684775829315,14.909799575805664,-999.0,16.325300216674805,0.014000000432133675,-999.0,-0.011172999627888203,-1000.0,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,0.9829999804496765,20.492300033569336,2682.748779296875,14.942700386047363,0,20.407222747802734,0.014000000432133675,-0.2595590054988861,2458166.75,0.6147232055664062,180,0.9819999933242798,1.0092496871948242,4.75,0.20484210550785065,1.3826114765140787e+17,18.40839958190918,4.074423313140869,17.9552001953125,1,ztf_20190429184618_000615_zg_c06_o_q1_scimrefdiffimg.fits,null,615120120,126.39099884033203,20,2458602.75,-999.0,11.559860229492188,15.081899642944336,2458602.75,1.3826114765140787e+17,11,0.15198929607868195,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2954.10888671875,0.007000000216066837,848,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,0.9729999899864197,114.82874298095703,28.42443084716797,9.665970802307129,0.014299999922513962,0.9966670274734497,0,15.55929946899414,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,726435622015015026,58480.4375,2,17.14963722229004,14.882375717163086,17.16699981689453,14.884511947631836,0.04150240123271942,0.015756377950310707,0.031700000166893005,0.015417352318763733,114.82879638671875,25.22245216369629,0.8533333539962769,615,46,2,2458042.0,0.24052225053310394,26,726435627008.0,0.3255172371864319,14.909799575805664,-999.0,17.17140007019043,0.017000000923871994,-999.0,0.01736300066113472,-1000.0,0.9970830082893372,15.026000022888184,25.222488403320312,2458372.0,0.30797600746154785,14.800100326538086,15,0.9269999861717224,20.492300033569336,2703.0205078125,14.942700386047363,0,19.97650909423828,0.017000000923871994,-0.12031260132789612,2458154.75,1.045656442642212,134,0.9440000057220459,1.0630630254745483,2.9000000953674316,0.3062068819999695,1.3826114765140787e+17,18.40839958190918,2.8095083236694336,17.9552001953125,1,ztf_20181228435590_000615_zr_c06_o_q1_scimrefdiffimg.fits,null,615120220,74.28359985351562,20,2458481.0,-999.0,11.362473487854004,15.081899642944336,2458481.0,1.3826114765140787e+17,11,0.17627710103988647,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,3006.21630859375,-0.03700000047683716,726,1.1319999694824219,1.3826114765140787e+17,-999.0,15.026000022888184,0.8880000114440918,114.82872772216797,8.383824348449707,7.030885696411133,0.037300001829862595,0.9966670274734497,0,15.707345008850098,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,693307762015010003,58447.30859375,2,17.651519775390625,14.933347702026367,17.52199935913086,14.922154426574707,0.10726942121982574,0.01790648140013218,0.08179999887943268,0.017156746238470078,114.82862854003906,25.222187042236328,0.6966666579246521,615,37,0,2458042.0,1.1184990406036377,3,693307768832.0,0.5026031732559204,14.909799575805664,-999.0,17.54159927368164,0.017000000923871994,-999.0,-0.1295190006494522,-1000.0,0.9970830082893372,15.026000022888184,25.222488403320312,2458372.0,0.30797600746154785,14.800100326538086,15,0.9789999723434448,20.492300033569336,2703.78564453125,14.942700386047363,0,18.902524948120117,0.017000000923871994,0.26798468828201294,2458154.75,2.0,117,0.8759999871253967,1.0682927370071411,1.742925763130188,0.4704732894897461,1.3826114765140787e+17,18.40839958190918,1.3805248737335205,17.9552001953125,1,ztf_20181125307697_000615_zr_c06_o_q1_scimrefdiffimg.fits,null,615120220,98.20069885253906,20,2458447.75,-999.0,12.282791137695312,15.081899642944336,2458447.75,1.3826114765140787e+17,11,1.0313260555267334,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2982.29931640625,-0.03700000047683716,693,1.1319999694824219,1.3826114765140787e+17,-999.0,15.026000022888184,0.8199999928474426,114.82872772216797,11.430351257324219,3.11765456199646,0.10509999841451645,0.9966670274734497,0,14.714479446411133,-1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,1005473792015010023,58759.47265625,1,18.50872039794922,15.263898849487305,18.33489990234375,15.254446983337402,0.16546186804771423,0.015690291300415993,0.07280000299215317,0.013852748088538647,114.8286361694336,25.222604751586914,0.595714271068573,615,147,5,2458042.0,0.5732123255729675,23,1005473824768.0,0.49337488412857056,14.909799575805664,-999.0,18.374799728393555,0.014000000432133675,-999.0,-0.17382100224494934,-1000.0,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,0.9900000095367432,20.492300033569336,2788.822509765625,14.942700386047363,0,20.420387268066406,0.014000000432133675,-0.2654888927936554,2458166.75,2.0,281,0.6700000166893005,1.4075629711151123,1.357993721961975,0.35051706433296204,1.3826114765140787e+17,18.40839958190918,2.0854880809783936,17.9552001953125,1,ztf_20191003473796_000615_zg_c06_o_q1_scimrefdiffimg.fits,null,615120120,116.63939666748047,20,2458760.0,-999.0,11.597151756286621,15.081899642944336,2458760.0,1.3826114765140787e+17,11,0.6360186338424683,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2963.860595703125,0.007000000216066837,1005,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,0.47600001096725464,114.82874298095703,8.090618133544922,5.144540786743164,0.08730000257492065,0.9966670274734497,0,16.215917587280273,-1,0.885837197303772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,1006497622015015013,58760.49609375,1,16.6794490814209,15.046977996826172,16.721500396728516,15.056187629699707,0.044594619423151016,0.014725515618920326,0.017999999225139618,0.011646343395113945,114.82872772216797,25.22242546081543,0.9242857098579407,615,152,1,2458042.0,0.1914701610803604,13,1006497628160.0,0.2728155255317688,14.909799575805664,-999.0,16.71619987487793,0.014000000432133675,-999.0,0.04205099865794182,-1000.0,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,0.9990000128746033,20.492300033569336,2793.169677734375,14.942700386047363,0,20.438108444213867,0.014000000432133675,0.10830660164356232,2458166.75,0.8797125816345215,283,0.8429999947547913,1.0752551555633545,3.0899999141693115,0.253721684217453,1.3826114765140787e+17,18.40839958190918,3.7166082859039307,17.9552001953125,1,ztf_20191004497627_000615_zg_c06_o_q1_scimrefdiffimg.fits,null,615120120,189.87510681152344,20,2458761.0,-999.0,11.587854385375977,15.081899642944336,2458761.0,1.3826114765140787e+17,11,0.11459267139434814,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2890.625,0.007000000216066837,1006,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,0.7839999794960022,114.82874298095703,27.791677474975586,19.526641845703125,0.02019999921321869,0.9966670274734497,0,15.594112396240234,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,780254172015015005,58534.25390625,1,16.206687927246094,14.922660827636719,16.27090072631836,14.941940307617188,0.05270296707749367,0.01884561963379383,0.026000000536441803,0.0124951908364892,114.8287353515625,25.222509384155273,0.6057142615318298,615,58,0,2458042.0,0.1234535425901413,5,780254183424.0,0.3597058951854706,14.909799575805664,-999.0,16.270000457763672,0.014000000432133675,-999.0,0.06421200186014175,-1000.0,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,0.9079999923706055,20.492300033569336,2707.4013671875,14.942700386047363,0,18.82198715209961,0.014000000432133675,-1.2004339694976807,2458166.75,1.1185235977172852,155,1.2230000495910645,1.1782273054122925,3.4000000953674316,0.30529412627220154,1.3826114765140787e+17,18.40839958190918,2.5510871410369873,17.9552001953125,1,ztf_20190220254155_000615_zg_c06_o_q1_scimrefdiffimg.fits,null,615120120,84.90859985351562,20,2458534.75,-999.0,11.44105052947998,15.081899642944336,2458534.75,1.3826114765140787e+17,11,0.19101755321025848,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2995.59130859375,0.007000000216066837,780,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,1.0379999876022339,114.82874298095703,12.086137771606445,17.323396682739258,0.032499998807907104,0.9966670274734497,0,15.895668983459473,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,701452532015015018,58455.453125,2,16.548511505126953,14.787175178527832,16.498199462890625,14.777054786682129,0.04137451946735382,0.01590222865343094,0.017100000753998756,0.013963443227112293,114.82881927490234,25.222444534301758,0.8766666650772095,615,39,0,2458042.0,0.31561845541000366,18,701452517376.0,0.4119148850440979,14.909799575805664,-999.0,16.479700088500977,0.017000000923871994,-999.0,-0.05031200125813484,-1000.0,0.9970830082893372,15.026000022888184,25.222488403320312,2458372.0,0.30797600746154785,14.800100326538086,15,0.7080000042915344,20.492300033569336,2710.89111328125,14.942700386047363,0,20.096384048461914,0.017000000923871994,-0.4750053882598877,2458154.75,1.2770216464996338,121,0.9679999947547913,1.1075514554977417,2.3499999046325684,0.37191489338874817,1.3826114765140787e+17,18.40839958190918,3.5981836318969727,17.9552001953125,1,ztf_20181203452535_000615_zr_c06_o_q1_scimrefdiffimg.fits,null,615120220,63.68220138549805,20,2458456.0,-999.0,11.298782348632812,15.081899642944336,2458456.0,1.3826114765140787e+17,11,0.2606961727142334,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,3016.81787109375,-0.03700000047683716,701,1.1319999694824219,1.3826114765140787e+17,-999.0,15.026000022888184,0.8740000128746033,114.82872772216797,9.846115112304688,17.07666778564453,0.019200000911951065,0.9966670274734497,0,15.694367408752441,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,681394352015015024,58435.39453125,2,17.494571685791016,14.919623374938965,17.541900634765625,14.923954010009766,0.08686713129281998,0.017415538430213928,0.03970000147819519,0.01587950438261032,114.82891082763672,25.22249984741211,0.7699999809265137,615,7,0,2458375.0,0.5692365765571594,24,681394372608.0,0.31704410910606384,14.909799575805664,-999.0,17.470399856567383,0.017000000923871994,-999.0,0.04732900112867355,-1000.0,0.9970830082893372,15.026000022888184,25.222488403320312,2458372.0,0.30797600746154785,14.800100326538086,15,0.9229999780654907,20.492300033569336,2711.051513671875,14.942700386047363,0,19.745792388916016,0.017000000923871994,-0.0968874990940094,2458154.75,2.0,102,0.703000009059906,1.103610634803772,2.2173571586608887,0.2872789204120636,1.3826114765140787e+17,21.914899826049805,2.203892707824707,19.932300567626953,1,ztf_20181113394352_000615_zr_c06_o_q1_scimrefdiffimg.fits,null,615120220,95.02339935302734,20,2458436.0,-999.0,10.956136703491211,15.081899642944336,2458436.0,1.3826114765140787e+17,11,0.5651258826255798,20.43899917602539,21.431800842285156,Kulkarni,21.643600463867188,2985.4765625,-0.03700000047683716,681,1.1319999694824219,1.3826114765140787e+17,-999.0,15.026000022888184,0.6370000243186951,114.82872772216797,25.41259002685547,3.0572452545166016,0.043299999088048935,0.9390829801559448,0,15.896183967590332,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacwbiw,1066238622015015012,58820.23828125,1,16.56624412536621,15.020768165588379,16.575599670410156,15.023015022277832,0.04838741943240166,0.01577351801097393,0.03629999980330467,0.013743339106440544,114.82869720458984,25.2224178314209,0.9328571557998657,615,225,0,2458042.0,0.273701548576355,12,1066238607360.0,0.27617329359054565,14.909799575805664,-999.0,16.539100646972656,0.014000000432133675,-999.0,0.009355000220239162,-1000.0,0.9970830082893372,15.319999694824219,25.222476959228516,2458430.0,0.30797600746154785,14.800100326538086,15,1.0,20.492300033569336,2735.552978515625,14.942700386047363,0,19.21372413635254,0.014000000432133675,0.6863027215003967,2458166.75,0.9678269624710083,704,0.7649999856948853,1.0522695779800415,2.7699999809265137,0.2624548673629761,1.3826114765140787e+17,18.40839958190918,2.6381242275238037,17.9552001953125,1,ztf_20191203238611_000615_zg_c06_o_q1_scimrefdiffimg.fits,null,615120120,173.71859741210938,20,2458820.75,-999.0,11.700508117675781,15.081899642944336,2458820.75,1.3826114765140787e+17,11,0.19762089848518372,17.96339988708496,21.431800842285156,Kulkarni,18.096099853515625,2906.781494140625,0.007000000216066837,1066,0.6129999756813049,1.3826114765140787e+17,-999.0,15.319999694824219,0.7269999980926514,114.82874298095703,33.86067581176758,12.483013153076172,0.0430000014603138,0.9966670274734497,0,15.558029174804688,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
