oid,candid,mjd,fid,magpsf,magpsf_corr,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmagap,sigmagap_corr,ra,dec,rb,alert.magnr,alert.sigmagnr,alert.ssnamenr,alert.sgscore2,alert.zpclrcov,alert.nmatches,alert.ndethist,alert.ypos,alert.elong,alert.aimagerat,alert.nbad,alert.clrcoeff,alert.neargaia,sgscore1,alert.magapbig,alert.seeratio,alert.ssnrms,alert.sgmag3,alert.magzpscirms,alert.sgmag1,alert.distpsnr1,alert.nid,alert.srmag1,alert.distpsnr3,alert.jdstartref,alert.drb,alert.szmag3,alert.pdiffimfilename,alert.jd,alert.tooflag,alert.srmag3,alert.ssmagnr,alert.ncovhist,alert.dsnrms,alert.dsdiff,alert.bimagerat,alert.magdiff,alert.sgmag2,alert.drbversion,alert.magzpsciunc,alert.zpmed,alert.maggaiabright,alert.distnr,alert.szmag2,alert.aimage,alert.objectidps3,alert.sigmagapbig,alert.sumrat,alert.ssdistnr,alert.simag1,alert.ranr,alert.nneg,alert.classtar,alert.rcid,isdiffpos,alert.magzpsci,alert.simag3,alert.chipsf,alert.jdendref,alert.programid,alert.nmtchps,alert.tblid,alert.scorr,alert.distpsnr2,alert.chinr,alert.sharpnr,alert.neargaiabright,alert.rbversion,alert.decnr,alert.bimage,alert.jdstarthist,alert.magfromlim,alert.clrmed,alert.candid,alert.diffmaglim,alert.jdendhist,alert.field,alert.exptime,alert.szmag1,alert.objectidps1,alert.objectidps2,alert.fwhm,alert.srmag2,alert.sky,alert.programpi,alert.simag2,alert.rfid,alert.xpos,alert.mindtoedge,alert.clrrms,alert.nframesref,alert.sgscore3,alert.clrcounc,alert.maggaia,alert.pid,alert.fid,alert.ra,alert.dec,alert.magpsf,alert.sigmapsf,alert.magap,alert.sigmagap,alert.rb,alert.magpsf_corr,alert.sigmapsf_corr,alert.magap_corr,alert.sigmagap_corr,alert.parent_candid,alert.magref,alert.sigmagref
ZTF18aaesntj,1184159742415010004,58938.16015625,2,19.722444534301758,17.139169692993164,19.89859962463379,17.12421226501465,0.20952846109867096,0.02227034792304039,0.33009999990463257,0.027811210602521896,113.13011932373047,25.740478515625,0.8328571319580078,17.042999267578125,0.009999999776482582,null,0.0060416702181100845,-3.639999931692728e-06,1558.0,64,1131.2255859375,1.1608186960220337,0.475767582654953,0,0.10285499691963196,0.6469586491584778,1.0,19.73579978942871,2.0,9.246988296508789,-999.0,0.03870199993252754,17.084199905395508,0.6471074223518372,1184,17.029300689697266,18.44472312927246,2458154.75,0.9996771812438965,20.5762996673584,ztf_20200330158634_000615_zr_c07_o_q1_scimrefdiffimg.fits,2458938.75,0,-999.0,-999.0,1253,6.144303798675537,-3.102684497833252,0.4098552167415619,0.1761550009250641,21.463600158691406,d6_m7,2.786799996101763e-06,26.322999954223633,13.595155715942383,0.6880691051483154,20.30069923400879,0.7940000295639038,1.3889113345438515e+17,0.36059999465942383,0.9229230880737305,-999.0,17.021499633789062,113.13027954101562,6,0.8159999847412109,24,-1,26.261444091796875,-999.0,0.9109241962432861,2458369.0,1,9,4,6.367483139038086,13.490594863891602,0.2199999988079071,0.004999999888241291,58.40262985229492,t17_f5_c3,25.740610122680664,0.6840000152587891,2458062.0,-0.10376102477312088,0.5690000057220459,1.184159729463591e+18,19.79483985900879,2458938.75,615,30.0,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.6688820123672485,20.93079948425293,-0.05900401994585991,Kulkarni,20.503400802612305,615120224,1652.9788818359375,1131.2255859375,0.277987003326416,15,0.5,5.650900220643962e-06,17.013877868652344,1184159760384.0,,,,,,,,,,,,,,,
ZTF18aaesntj,1092246892415015012,58846.24609375,1,19.810823440551758,17.011306762695312,19.512399673461914,16.985549926757812,0.1945817768573761,0.01792760193347931,0.15530000627040863,0.018113115802407265,113.12981414794922,25.740520477294922,0.6842857003211975,17.097000122070312,0.010999999940395355,null,0.0060416702181100845,-5.859999873791821e-06,1560.0,20,1109.52734375,1.0717703104019165,0.6132581233978271,0,-0.0908840000629425,1.5642071962356567,1.0,19.409500122070312,2.0,12.441469192504883,-999.0,0.04135400056838989,17.084199905395508,1.5642445087432861,1092,17.029300689697266,18.96410369873047,2458166.75,0.8765586614608765,20.5762996673584,ztf_20191229246898_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458846.75,0,-999.0,-999.0,915,1.7167093753814697,-10.724760055541992,0.5721917152404785,-0.29842400550842285,21.463600158691406,d6_m7,4.45180012320634e-06,26.229999542236328,13.595155715942383,1.5216418504714966,20.30069923400879,0.8960000276565552,1.3889113345438515e+17,0.1754000037908554,1.0,-999.0,17.021499633789062,113.13028717041016,2,0.3700000047683716,24,1,26.279823303222656,-999.0,1.6923644542694092,2458427.0,1,9,12,6.701616287231445,12.502549171447754,0.33000001311302185,-0.02199999988079071,58.736331939697266,t17_f5_c3,25.74058723449707,0.8360000252723694,2458062.0,0.9239429831504822,0.5659999847412109,1.092246879573377e+18,20.436342239379883,2458846.75,615,30.0,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.4610487222671509,20.93079948425293,-0.08656945824623108,TESS,20.503400802612305,615120124,1617.9847412109375,1109.52734375,0.2756350040435791,15,0.5,9.134500032814685e-06,17.013877868652344,1092246896640.0,1.0,113.12981414794922,25.740520477294922,19.810823440551758,0.1945817768573761,19.512399673461914,0.15530000627040863,0.6842857003211975,17.011306762695312,0.01792760193347931,16.985549926757812,0.018113115802407265,,,
ZTF18aaesntj,1009475522415010021,58763.4765625,1,19.93414306640625,17.020191192626953,20.45199966430664,17.048690795898438,0.20633530616760254,0.017425229772925377,0.36640000343322754,0.019103651866316795,113.13021850585938,25.740558624267578,0.7928571701049805,17.097000122070312,0.010999999940395355,null,0.0060416702181100845,,,31,1027.6754150390625,1.2960784435272217,0.4944266676902771,0,,,1.0,20.633100509643555,2.0,,-999.0,,17.084199905395508,0.2555786669254303,1009,17.029300689697266,18.015111923217773,2458166.75,,20.5762996673584,ztf_20191007475521_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458764.0,0,-999.0,-999.0,308,,,0.3814789652824402,0.5178560018539429,21.463600158691406,,,,,0.22697682678699493,20.30069923400879,0.6610000133514404,1.3889113345438515e+17,0.5376999974250793,0.7312958240509033,-999.0,17.021499633789062,113.13028717041016,9,0.8730000257492065,24,-1,,-999.0,2.1841042041778564,2458427.0,1,9,21,7.763859272003174,13.758563041687012,0.33000001311302185,-0.02199999988079071,,,25.74058723449707,0.5099999904632568,2458062.0,0.08944587409496307,,,20.541446685791016,2458764.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.3369020223617554,20.93079948425293,-0.05490795895457268,Kulkarni,20.503400802612305,615120124,1662.6378173828125,1027.6754150390625,,15,0.5,,,1009475518464.0,,,,,,,,,,,,,-1000.0,17.097000122070312,0.010999999940395355
ZTF18aaesntj,1082408552415010009,58836.41015625,1,20.00663948059082,17.024991989135742,20.262300491333008,17.03970718383789,0.1950431615114212,0.01620565541088581,0.34139999747276306,0.020415963605046272,113.13021087646484,25.740705490112305,0.8271428346633911,17.097000122070312,0.010999999940395355,null,0.0060416702181100845,,,37,1126.1717529296875,1.1090604066848755,0.4988531470298767,0,,,1.0,20.43670082092285,2.0,,-999.0,,17.084199905395508,0.60957932472229,1082,17.029300689697266,17.62351417541504,2458166.75,,20.5762996673584,ztf_20191219408553_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458837.0,0,-999.0,-999.0,796,,,0.44979798793792725,0.2556599974632263,21.463600158691406,,,,,0.479981929063797,20.30069923400879,0.6610000133514404,1.3889113345438515e+17,0.5037999749183655,0.8516821265220642,-999.0,17.021499633789062,113.13028717041016,8,0.8159999847412109,24,-1,,-999.0,2.423994302749634,2458427.0,1,9,9,5.53924560546875,13.6477632522583,0.33000001311302185,-0.02199999988079071,,,25.74058723449707,0.5960000157356262,2458062.0,0.13746687769889832,,,20.39976692199707,2458837.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.325039267539978,20.93079948425293,0.10615339875221252,Kulkarni,20.503400802612305,615120124,1644.905517578125,1126.1717529296875,,15,0.5,,,1082408566784.0,,,,,,,,,,,,,-1000.0,17.097000122070312,0.010999999940395355
ZTF18aaesntj,701495472415015027,58455.49609375,2,19.586280822753906,16.943382263183594,20.09269905090332,16.979455947875977,0.16376662254333496,0.01701059564948082,0.36070001125335693,0.02256961353123188,113.13037109375,25.740577697753906,0.6866666674613953,17.042999267578125,0.009999999776482582,null,0.0060416702181100845,,,8,1177.3424072265625,1.1650943756103516,0.5208322405815125,0,,,1.0,20.065000534057617,2.0,,-999.0,,17.084199905395508,0.2576785981655121,701,17.029300689697266,17.6463680267334,2458154.75,,20.5762996673584,ztf_20181203495440_000615_zr_c07_o_q1_scimrefdiffimg.fits,2458456.0,0,-999.0,-999.0,131,,,0.44703009724617004,0.5064200162887573,21.463600158691406,,,,,0.3241148889064789,20.30069923400879,0.7409999966621399,1.3889113345438515e+17,0.44290000200271606,0.9869140386581421,-999.0,17.021499633789062,113.13027954101562,5,0.7639999985694885,24,1,,-999.0,1.5764615535736084,2458369.0,1,9,27,5.14138126373291,14.241065979003906,0.2199999988079071,0.004999999888241291,,,25.740610122680664,0.6359999775886536,2458077.0,-0.004414543509483337,,,20.088285446166992,2458456.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.4227230548858643,20.93079948425293,-0.01167302019894123,Kulkarni,20.503400802612305,615120224,1571.4339599609375,1177.3424072265625,,15,0.5,,,701495443456.0,,,,,,,,,,,,,-1000.0,17.042999267578125,0.009999999776482582
ZTF18aaesntj,732450722415010004,58486.44921875,2,19.742284774780273,16.956195831298828,20.100400924682617,16.979890823364258,0.16578777134418488,0.015731869265437126,0.3231000006198883,0.020539941266179085,113.13006591796875,25.74043846130371,0.6233333349227905,17.042999267578125,0.009999999776482582,null,0.0060416702181100845,,,11,1156.1590576171875,1.0055679082870483,0.5380392670631409,0,,,1.0,20.22800064086914,2.0,,-999.0,,17.084199905395508,0.862348735332489,732,17.029300689697266,18.659423828125,2458154.75,,20.5762996673584,ztf_20190103450718_000615_zr_c07_o_q1_scimrefdiffimg.fits,2458487.0,0,-999.0,-999.0,147,,,0.5350601077079773,0.35811498761177063,21.463600158691406,,,,,0.9110651612281799,20.30069923400879,0.902999997138977,1.3889113345438515e+17,0.4580000042915344,1.0,-999.0,17.021499633789062,113.13027954101562,3,0.5149999856948853,24,-1,,-999.0,0.8828487396240234,2458369.0,1,9,4,5.139380931854248,13.350918769836426,0.2199999988079071,0.004999999888241291,,,25.740610122680664,0.8980000019073486,2458077.0,-0.06525985151529312,,,20.035140991210938,2458487.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.6783161163330078,20.93079948425293,0.3054006099700928,Kulkarni,20.503400802612305,615120224,1566.6131591796875,1156.1590576171875,,15,0.5,,,732450717696.0,,,,,,,,,,,,,-1000.0,17.042999267578125,0.009999999776482582
ZTF18aaesntj,1006497622415010015,58760.49609375,1,19.95734214782715,17.021759033203125,20.028799057006836,17.026399612426758,0.17819078266620636,0.015737613663077354,0.26589998602867126,0.01965898461639881,113.13031005859375,25.74062156677246,0.8999999761581421,17.097000122070312,0.010999999940395355,null,0.0060416702181100845,,,30,1063.5888671875,1.121982216835022,0.6206408143043518,0,,,1.0,20.28809928894043,2.0,,-999.0,,17.084199905395508,0.24036306142807007,1006,17.029300689697266,17.64110565185547,2458166.75,,20.5762996673584,ztf_20191004497627_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458761.0,0,-999.0,-999.0,303,,,0.5531646013259888,0.07145699858665466,21.463600158691406,,,,,0.15947361290454865,20.30069923400879,0.8830000162124634,1.3889113345438515e+17,0.42179998755455017,0.9327625632286072,-999.0,17.021499633789062,113.13028717041016,6,0.5249999761581421,24,-1,,-999.0,1.5291749238967896,2458427.0,1,9,15,5.088191032409668,14.03003215789795,0.33000001311302185,-0.02199999988079071,,,25.74058723449707,0.7870000004768372,2458062.0,0.3496555685997009,,,20.378456115722656,2458761.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.4227230548858643,20.93079948425293,0.09837312251329422,Kulkarni,20.503400802612305,615120124,1657.7396240234375,1063.5888671875,,15,0.5,,,1006497628160.0,,,,,,,,,,,,,-1000.0,17.097000122070312,0.010999999940395355
ZTF18aaesntj,675453922415015040,58429.453125,1,20.057636260986328,17.0281925201416,19.823699951171875,17.012279510498047,0.16505751013755798,0.014468240551650524,0.16009999811649323,0.015746191143989563,113.13031768798828,25.740432739257812,0.5699999928474426,17.097000122070312,0.010999999940395355,null,0.0060416702181100845,,,5,1137.085205078125,1.151090383529663,0.5817583799362183,0,,,1.0,19.653200149536133,2.0,,-999.0,,17.084199905395508,0.45346036553382874,675,17.029300689697266,18.16752815246582,2458166.75,,20.5762996673584,ztf_20181107453924_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458430.0,0,-999.0,-999.0,105,,,0.5053976774215698,-0.23393699526786804,21.463600158691406,,,,,0.5601178407669067,20.30069923400879,0.7390000224113464,1.3889113345438515e+17,0.1655000001192093,0.8502389192581177,-999.0,17.021499633789062,113.13028717041016,7,0.8429999947547913,24,1,,-999.0,3.011631727218628,2458427.0,1,9,40,5.5457634925842285,14.164804458618164,0.33000001311302185,-0.02199999988079071,,,25.74058723449707,0.6420000195503235,2458077.0,1.133736252784729,,,20.957435607910156,2458430.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.2702867984771729,20.93079948425293,0.03654849901795387,Kulkarni,20.503400802612305,615120124,1583.78759765625,1137.085205078125,,15,0.5,,,675453927424.0,,,,,,,,,,,,,-1000.0,17.097000122070312,0.010999999940395355
ZTF18aaesntj,635518542415015025,58389.51953125,2,19.471649169921875,16.93283462524414,19.3799991607666,16.92364501953125,0.13003797829151154,0.015461682341992855,0.20569999516010284,0.023212334141135216,113.13031768798828,25.74047088623047,0.5933333039283752,17.042999267578125,0.009999999776482582,null,0.0060416702181100845,,,4,941.8671264648438,1.110687017440796,0.4707701802253723,0,,,1.0,19.04599952697754,2.0,,-999.0,,17.084199905395508,0.31057673692703247,635,17.029300689697266,18.060382843017578,2458154.75,,20.5762996673584,ztf_20180928518530_000615_zr_c07_o_q1_scimrefdiffimg.fits,2458390.0,0,-999.0,-999.0,97,,,0.4238549470901489,-0.09164900332689285,21.463600158691406,,,,,0.5089319944381714,20.30069923400879,0.5820000171661377,1.3889113345438515e+17,0.19140000641345978,0.9987496733665466,-999.0,17.021499633789062,113.13027954101562,2,0.9769999980926514,24,1,,-999.0,1.737644910812378,2458369.0,1,9,25,6.474114894866943,14.126672744750977,0.2199999988079071,0.004999999888241291,,,25.740610122680664,0.5239999890327454,2458077.0,0.7470425963401794,,,20.127042770385742,2458390.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.2362719774246216,20.93079948425293,0.6158947944641113,Kulkarni,20.503400802612305,615120224,1610.269775390625,941.8671264648438,,15,0.5,,,635518517248.0,,,,,,,,,,,,,-1000.0,17.042999267578125,0.009999999776482582
ZTF18aaesntj,676371992415010005,58430.37109375,1,19.721529006958008,17.0042667388916,20.042400360107422,17.027250289916992,0.1506565660238266,0.015940917655825615,0.19910000264644623,0.01612081378698349,113.13034057617188,25.74068260192871,0.6499999761581421,17.097000122070312,0.010999999940395355,null,0.0060416702181100845,,,6,1093.4171142578125,1.203442931175232,0.6024349331855774,0,,,1.0,20.15180015563965,2.0,,-999.0,,17.084199905395508,0.4789288341999054,676,17.029300689697266,17.409635543823242,2458166.75,,20.5762996673584,ztf_20181108371991_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458430.75,0,-999.0,-999.0,107,,,0.5005928874015808,0.3208709955215454,21.463600158691406,,,,,0.3881097137928009,20.30069923400879,0.7689999938011169,1.3889113345438515e+17,0.26809999346733093,1.0,-999.0,17.021499633789062,113.13028717041016,3,0.8180000185966492,24,-1,,-999.0,3.2226266860961914,2458427.0,1,9,5,5.562118053436279,14.092550277709961,0.33000001311302185,-0.02199999988079071,,,25.74058723449707,0.6389999985694885,2458077.0,0.8709876537322998,,,20.913387298583984,2458430.75,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.2764863967895508,20.93079948425293,-0.30822470784187317,Kulkarni,20.503400802612305,615120124,1581.1343994140625,1093.4171142578125,,15,0.5,,,676372021248.0,,,,,,,,,,,,,-1000.0,17.097000122070312,0.010999999940395355
ZTF18aaesntj,681504592415015030,58435.50390625,2,19.44794273376465,16.930522918701172,19.870800018310547,16.96554946899414,0.18834629654884338,0.020611358806490898,0.2685999870300293,0.02070489153265953,113.13036346435547,25.740755081176758,0.550000011920929,17.042999267578125,0.009999999776482582,null,0.0060416702181100845,,,5,1172.664794921875,1.1189554929733276,0.47934016585350037,0,,,1.0,20.00279998779297,2.0,,-999.0,,17.084199905395508,0.7453140616416931,681,17.029300689697266,17.170242309570312,2458154.75,,20.5762996673584,ztf_20181113504549_000615_zr_c07_o_q1_scimrefdiffimg.fits,2458436.0,0,-999.0,-999.0,112,,,0.4283818006515503,0.42285799980163574,21.463600158691406,,,,,0.5788334608078003,20.30069923400879,1.156999945640564,1.3889113345438515e+17,0.38179999589920044,0.9911952018737793,-999.0,17.021499633789062,113.13027954101562,4,0.5649999976158142,24,1,,-999.0,1.3085380792617798,2458369.0,1,9,30,5.845785140991211,14.118440628051758,0.2199999988079071,0.004999999888241291,,,25.740610122680664,1.034000039100647,2458372.0,-0.2557412385940552,,,19.61505889892578,2458436.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,2.4137346744537354,20.93079948425293,0.0679912120103836,Kulkarni,20.503400802612305,615120224,1572.234619140625,1172.664794921875,,15,0.5,,,681504604160.0,,,,,,,,,,,,,-1000.0,17.042999267578125,0.009999999776482582
ZTF18aaesntj,684422532415010020,58438.421875,1,19.834728240966797,17.013103485107422,19.88909912109375,17.017053604125977,0.1827586591243744,0.016981426626443863,0.2305999994277954,0.019297629594802856,113.13040161132812,25.740514755249023,0.6833333373069763,17.097000122070312,0.010999999940395355,null,0.0060416702181100845,,,7,1153.4447021484375,1.2978723049163818,0.683212161064148,0,,,1.0,19.985300064086914,2.0,,-999.0,,17.084199905395508,0.3641587495803833,684,17.029300689697266,17.771089553833008,2458166.75,,20.5762996673584,ztf_20181116422535_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458439.0,0,-999.0,-999.0,115,,,0.5264093279838562,0.05437200143933296,21.463600158691406,,,,,0.44982030987739563,20.30069923400879,0.9150000214576721,1.3889113345438515e+17,0.3133000135421753,0.9341081976890564,-999.0,17.021499633789062,113.13028717041016,6,0.7799999713897705,24,-1,,-999.0,1.6625951528549194,2458427.0,1,9,20,5.165485858917236,14.36456298828125,0.33000001311302185,-0.02199999988079071,,,25.74058723449707,0.7049999833106995,2458077.0,0.5858993530273438,,,20.474998474121094,2458439.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.3392618894577026,20.93079948425293,0.11110900342464447,Kulkarni,20.503400802612305,615120124,1590.9417724609375,1153.4447021484375,,15,0.5,,,684422529024.0,,,,,,,,,,,,,-1000.0,17.097000122070312,0.010999999940395355
ZTF18aaesntj,726435622415015022,58480.4375,2,19.935199737548828,16.96986198425293,20.518400192260742,16.99966049194336,0.24410100281238556,0.018445856869220734,0.5432999730110168,0.023329703137278557,113.13030242919922,25.74062156677246,0.6566669940948486,17.042999267578125,0.009999999776482582,,0.0060416702181100845,,,11,1177.3699951171875,1.110360026359558,0.42782899737358093,0,,,1.0,20.011600494384766,2.0,,-999.0,,17.084199905395508,0.862348735332489,726,17.029300689697266,18.659423828125,2458154.75,,20.5762996673584,/ztf/archive/sci/2018/1228/435590/ztf_20181228435590_000615_zr_c07_o_q1_scimrefdiffimg.fits.fz,2458481.0,0,-999.0,,147,,,0.38530799746513367,0.5831969976425171,21.463600158691406,,,,,0.11044199764728546,20.30069923400879,0.6539999842643738,1.3889113345438515e+17,0.4309000074863434,0.8357589840888977,,17.021499633789062,113.13027954101562,9,0.8019999861717224,24,1,,-999.0,1.36844003200531,2458369.0,1,9,22,5.093530178070068,13.350918769836426,0.2199999988079071,0.004999999888241291,,,25.740610122680664,0.5889999866485596,2458077.0,-0.5377910137176514,,,19.980600357055664,2458487.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.5286500453948975,20.93079948425293,-0.6190270185470581,Kulkarni,20.503400802612305,615120224,1560.3499755859375,1177.3699951171875,,15,0.5,,,726435627008.0,,,,,,,,,,,,,7.324507346787369e+17,17.042999267578125,0.009999999776482582
ZTF18aaesntj,617472122415015008,58371.47265625,2,19.79680061340332,16.960289001464844,19.73859977722168,16.955913543701172,0.1824990063905716,0.016280585899949074,0.2718000113964081,0.022892408072948456,113.13037109375,25.740488052368164,0.6766669750213623,17.042999267578125,0.009999999776482582,,0.0060416702181100845,,,4,993.7100219726562,1.1875900030136108,0.4875989854335785,0,,,1.0,19.412399291992188,2.0,,-999.0,,17.084199905395508,0.31057673692703247,617,17.029300689697266,18.060382843017578,2458154.75,,20.5762996673584,/ztf/archive/sci/2018/0910/472130/ztf_20180910472130_000615_zr_c07_o_q1_scimrefdiffimg.fits.fz,2458372.0,0,-999.0,,97,,,0.41057801246643066,-0.058177001774311066,21.463600158691406,,,,,0.5266429781913757,20.30069923400879,0.8040000200271606,1.3889113345438515e+17,0.25450000166893005,1.0,,17.021499633789062,113.13027954101562,2,0.5529999732971191,24,1,,-999.0,0.5886880159378052,2458369.0,1,9,8,5.454189777374268,14.126672744750977,0.2199999988079071,0.004999999888241291,,,25.740610122680664,0.6769999861717224,2458077.0,0.1328659951686859,,,19.87150001525879,2458390.0,615,,17.11910057067871,1.3888113477052006e+17,1.3889113345438515e+17,1.648900032043457,20.93079948425293,-0.10678599774837494,Kulkarni,20.503400802612305,615120224,1522.4100341796875,993.7100219726562,,15,0.5,,,617472131072.0,,,,,,,,,,,,,6.355185454882488e+17,17.042999267578125,0.009999999776482582
